District Names,State/UT,Number of Households surveyed,Number of Women age 15-49 years interviewed,Number of Men age 15-54 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%)," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),Population living in households with electricity (%),Population living in households with an improved drinking-water source1 (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Women age 20-24 years married before age 18 years (%),Births in the 5 years preceding the survey that are third or higher order (%),Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),All women age 15-19 years who are anaemic22 (%) ,Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%),Men age 15 years and above who consume alcohol (%),BMI_Risk,Child_Nutrition_Status,Anaemia_Risk,Institutional_Birth_Level,Sanitation_Status,Insurance_Coverage_Level,BP_Risk_Women
Gopalganj ,Bihar,912,1139,96,63.31,34.56,1156.69,942.68,87.79,40.83,96.23,99.92,60.1,39.35,96.64,12.73,2.7,63.31,32.91,27.96,3.45,7.56,63.82,57.34,39.52,27.05,0.0,0.18232155679395462,0.8960880245566356,3.29,0.62,19.41,5.47,17.89,45.7,53.16,27.88,90.1,23.58,8.6,89.56,53.88,2559.36,0,54.19,85.92,60.26,1.4539530095937054,88.02,9.1,27.47,3.4,75.83,97.91,98.39,78.95,91.11,89.55,36.98,1.67,91.11,69.13,98.1,1.9,6.1,-69.16,-9.07,-40.63,1.9242486522741338,61.48,38.64,83.48,*,14.9,*,13.83,34.16,21.47,9.76,29.23,3.53,22.66,17.94,69.01,56.08,53.76,54.03,53.77,54.06,4.72,4.94,10.52,5.01,4.75,10.09,11.65,5.07,20.34,16.26,4.96,22.84,0.9042181506398859,0.173953307123438,0.0,1.8213182714695995,47.84,0.1310282624064041,11.98,Normal,Average,High Risk,Medium,Average,Low,Moderate Risk
Saran ,Bihar,945,1229,137,64.77,35.26,1076.82,779.29,73.11,43.82,93.62,99.74,37.15,36.83,92.88,9.41,7.21,65.56,35.54,26.24,4.23,6.15,58.97,41.13,31.42,23.55,0.0,0.30010459245033805,0.9932517730102834,4.91,0.45,17.34,7.68,17.96,36.74,44.36,30.74,88.05,14.77,8.5,94.33,54.05,2903.42,1.86,58.31,72.97,57.17,2.263844264677615,79.09,8.02,43.89,1.9,71.95,85.66,95.15,75.65,89.12,88.86,31.08,16.24,83.06,50.19,99.12,0.88,15.89,51.47,36.78,72.07,0.9631743177730056,71.42,28.19,-45.02,-58.65,5.9,*,7.11,39.67,28.8,10.02,44.96,1.97,22.05,19.11,50.72,69.82,62.99,59.06,62.8,70.87,8.09,6.77,16.46,7.94,8.41,18.12,8.37,3.3,16.74,12.67,2.63,19.33,0.4054651081081644,0.5653138090500605,0.2851789422336624,1.6389967146756448,44.0,0.4510756193602167,17.37,Normal,Average,High Risk,Medium,Poor,Low,Moderate Risk
Buxar ,Bihar,975,1295,158,64.84,32.68,1005.18,886.29,77.11,40.51,98.53,99.81,52.36,44.65,93.54,11.44,18.25,68.14,33.31,30.8,5.82,7.19,56.56,60.46,44.6,35.11,0.0,0.688134638736401,1.2296405510745139,3.84,1.41,9.06,3.42,31.4,67.26,61.54,27.44,93.38,21.13,9.82,92.19,66.92,1685.56,-2.24,68.26,89.45,50.87,1.3217558399823195,90.59,7.69,19.05,0.67,75.02,81.7,97.31,75.02,90.49,90.52,35.68,6.29,89.62,50.38,90.42,6.42,10.42,49.23,26.83,87.18,1.5496879080283263,81.58,36.87,-33,-45.85,8.36,-8.1,8.32,39.64,33.17,15.13,45.31,4.94,21.06,16.58,57.7,68.34,66.97,55.11,66.21,65.96,7.12,4.89,12.93,6.57,4.46,11.46,9.17,2.75,13.89,7.44,1.96,10.46,0.29266961396282,0.27002713721306015,0.0,1.0260415958332743,42.24,0.1310282624064041,11.38,Normal,Average,High Risk,Medium,Average,Low,Normal
Raigarh ,Chhattisgarh,889,990,154,72.17,24.1,1012.97,811.8,97.21,81.69,99.02,97.53,66.3,29.75,99.62,66.28,4.19,75.96,38.3,11.54,1.78,1.32,69.13,64.05,56.02,45.54,0.0,1.0750024230289759,1.269760544863939,2.79,0.62,10.31,5.16,38.39,89.16,57.67,55.41,95.55,58.04,31.82,100.0,89.55,2136.5,*,88.92,87.73,72.3,1.4586150226995167,85.78,18.93,61.28,13.11,90.87,-91.87,100,90.87,92.83,95.17,13.54,76.8,92.83,88.34,99.2,0.8,1.88,*,*,*,0.5933268452777344,*,37.59,-82.82,*,4.78,*,4.46,39.09,14.92,2.92,28.0,0.63,26.88,14.91,46.63,62.68,62.45,-54.2,62.16,59.5,3.95,3.47,8.07,6.32,5.57,13.37,15.47,8.73,26.13,22.73,8.55,31.93,0.0,0.0,0.0,2.9997242948235283,43.55,1.5623463049002497,33.0,Normal,Average,High Risk,Medium,Average,High,Moderate Risk
Korba ,Chhattisgarh,876,1029,173,71.07,25.4,1034.28,988.88,94.53,72.44,97.93,82.21,73.33,35.49,95.37,60.56,14.34,77.59,37.11,7.24,1.95,1.24,65.16,53.62,46.93,34.45,0.44468582126144574,0.8919980393051105,1.5107219394949427,5.7,0.4,13.41,4.43,12.65,52.36,49.67,49.34,84.17,26.45,15.38,92.85,76.73,1943.06,-12.47,70.67,75.4,57.42,2.0906287310704004,78.17,18.14,-63.85,11.6,-68.37,-89.31,-91.01,-72.2,-75.88,-83.87,-48.29,-36.01,-72.74,74.05,-91.57,-1.76,5.3,*,*,*,0.2851789422336624,-50.63,26.37,*,*,4.49,*,3.99,34.66,14.7,8.03,27.92,6.28,24.41,16.21,52.39,63.55,66.91,-54.6,66.43,70.48,4.23,4.49,9.61,5.31,3.8,10.19,14.72,7.45,23.92,21.08,10.07,32.74,0.6575200029167942,0.6043159668533296,0.3852624007906449,2.9739977814079848,42.55,1.5496879080283263,33.35,Normal,Average,High Risk,Medium,Average,High,Moderate Risk
Janjgir - Champa ,Chhattisgarh,920,1046,149,67.73,25.32,998.69,794.51,96.01,76.17,99.53,97.24,78.77,24.78,99.41,73.97,7.02,77.02,37.28,10.17,1.54,3.53,78.38,74.77,66.32,47.6,0.3074846997479606,1.1249295969854831,1.1314021114911006,7.79,1.0,6.25,1.93,16.52,70.19,63.08,62.82,90.91,34.22,21.45,97.57,85.94,2596.73,-8.3,82.6,86.24,64.71,2.2407096892759584,91.56,22.79,66.61,13.05,85.52,86.76,94.13,90.71,89.48,92.87,50.5,30.91,92.62,86.62,94.72,5.28,6.15,*,*,*,1.1184149159642893,-87.8,31.41,-75.72,*,4.97,*,4.83,32.45,24.61,12.02,30.22,6.61,21.5,12.81,52.74,74.05,66.63,60.03,66.28,67.86,4.05,4.09,9.01,5.05,4.98,11.24,15.1,5.12,21.63,18.11,9.1,28.3,0.0,0.0,0.15700374880966475,2.761274962339508,40.36,0.8501509293696101,31.34,Normal,Average,High Risk,Medium,Average,High,Moderate Risk
Kabeerdham ,Chhattisgarh,915,1037,151,61.72,27.38,983.31,825.97,98.64,84.14,99.54,97.85,80.26,24.96,95.64,72.09,0,67.81,32.59,15.28,1.5,1.52,63.5,75.16,72.18,63.82,0.412109650826833,1.3270750014599193,1.0647107369924282,1.67,0.25,6.24,2.87,43.65,92.39,67.19,58.89,89.32,59.81,36.94,99.23,92.95,1339.94,*,94.3,91.72,77.71,1.47932922708708,93.44,9.56,-50.4,3.22,95.41,96.88,98.48,96.92,95.41,96.93,21.02,80.43,95.41,86.51,100,0,0.0,*,*,*,0.0,*,44.4,-71.23,*,7.04,*,6.83,37.94,12.02,3.07,27.25,5.97,20.57,11.8,59.29,67.45,43.87,-35.55,43.64,45.37,5.58,2.48,8.5,5.85,2.58,9.37,16.45,6.7,23.97,19.44,6.57,26.46,0.20701416938432615,0.2776317365982795,0.13976194237515868,2.688527534613346,40.2,1.2781522025001875,27.55,Normal,Average,Medium Risk,High,Good,High,Moderate Risk
Balod ,Chhattisgarh,919,1006,164,76.35,20.71,987.98,1067.87,99.14,83.79,99.68,99.49,83.76,33.29,96.73,79.52,-2.68,84.66,46.25,3.26,0.33,0.0,84.79,83.54,79.86,68.42,0.5364933705145685,1.205970806988609,0.5596157879354227,3.42,1.06,2.57,1.03,37.47,94.08,72.73,81.46,93.68,46.92,24.21,99.42,90.84,1904.62,*,89.06,97.35,85.75,1.2947271675944,99.15,17.84,-58.07,12.95,-85.21,-92.4,-100,-85.21,-91.99,-92.4,-28.93,-56.74,-89.84,90.32,-97.69,-2.31,1.32,*,*,*,0.7929925155296614,*,22.41,*,*,2.92,*,2.87,33.56,15.14,8.04,35.95,7.7,18.83,12.16,69.15,68.29,56.57,-48.61,56.38,59.66,4.55,2.93,8.1,4.84,2.62,8.43,15.96,7.95,25.06,18.23,8.53,27.65,0.4762341789963716,0.0,0.1906203596086497,2.519308076505333,36.14,0.9042181506398859,26.81,Normal,Average,High Risk,High,Good,High,Moderate Risk
Bemetara ,Chhattisgarh,922,1060,134,65.25,27.0,972.49,987.18,99.36,80.04,99.66,98.82,80.48,18.86,97.75,63.38,1.32,74.14,32.99,15.12,1.16,4.9,63.92,75.58,71.21,62.39,0.11332868530700317,1.0577902941478545,0.9516578757114464,2.79,0.39,5.03,2.39,37.25,88.15,77.42,54.61,89.04,54.56,34.79,99.71,91.52,2514.93,*,91.94,94.98,84.57,1.095273387402595,93.91,13.16,-67.62,7.23,93.43,93.43,100,93.43,93.43,95.65,28.27,64.13,93.43,88.98,100,0,1.29,*,*,*,0.0,*,27.35,-65.64,*,15.49,*,14.7,38.35,16.37,3.9,27.62,4.07,20.97,14.86,57.41,61.82,46.94,-49.15,47.01,50.26,4.74,2.99,8.36,6.67,4.05,11.67,17.09,7.01,26.86,19.9,6.48,27.57,0.37156355643248307,0.0,0.0,2.448415541205585,40.24,0.5187937934151676,28.97,Normal,Average,Medium Risk,High,Good,High,Moderate Risk
Bilaspur ,Chhattisgarh,881,973,173,70.97,24.78,1033.14,1070.45,94.19,63.5,98.61,93.62,80.47,42.19,98.61,60.37,3.03,74.32,37.38,11.19,2.62,5.2,70.69,58.5,50.28,33.7,0.1310282624064041,1.3887912413184778,1.264126727145683,5.45,0.27,10.39,3.96,19.9,56.02,52.45,46.87,84.64,29.99,9.2,92.91,75.74,2344.38,-11.79,78.58,79.44,55.79,2.2126603854660587,85.64,19.03,57.16,9.88,52.5,-69.52,93.99,65.78,77.53,80.13,36.72,38.92,73.32,62.72,89.05,10.95,5.14,*,*,*,0.5877866649021191,-72.09,33.55,*,*,15.68,*,15.21,25.73,24.02,10.93,28.0,4.4,27.18,17.07,50.32,78.14,59.29,-41.37,58.5,63.93,4.28,4.81,9.98,6.5,5.26,12.69,14.45,7.25,24.44,19.19,8.06,28.64,0.2546422183735807,0.2776317365982795,0.16551443847757338,2.5241273629412815,39.95,1.2669476034873244,33.89,Normal,Average,High Risk,Medium,Good,High,Moderate Risk
